x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,y
0,0,0,2.919352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.483561,0,0,0,0,0,0,2.087904,1
1.286402,0,2.843799,0,2.232056,1.570161,0,1.435853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.581313,2.199965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78355,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.596807,1.078491,0,0,0,0,0,0,0,0,0,0,2.718331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85463,0,0,0,0,2
4.387616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46482,0,0,0,0,2.691876,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,2.208618,0,0,0,0,0,0,0,0,0,1.556243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.457063,0,0,0,0,0,0,2
0,0,0,1.827508,0,0,0,0,0,0,2.33406,0,0,0,0,0,0,0,0,0,0,0,0,0.852146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15639,0,0,2.255523,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,3.023168,0,0,0,0,0,0,0,0,0,0.917425,0.982095,0,0,0,1.415668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.510245,0,0,0,0,0,2
0.64147,0,0,0,0,0,0,0,0,0,1.311516,0,0,0,0,0,0,0,0,0,0,0,0,0.478824,0,0,1.052063,0,0,0,2.808961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.211683,0,0,2.534772,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960145,1.349858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15793,0,0,1.73556,0,1.876829,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.521041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.360038,0,0,0,3.371621,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616315,0.545833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.042371,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.387616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.663867,0,0,0,0,0,0,3.079213,0,0,0,2.645973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.694916,0,0,0,0,1.309497,0,1.970782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.506009,0,0,0,2.638006,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1.80957,0,2.200267,0,0,0,0,0,0,0,0,0,0,2.368437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.778551,1.537114,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1.857919,0,0,0,0,0,0,1.787911,0,0,0,0,1.004303,1.574989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.177708,0,0,2.090707,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,1.447463,0,0,0,0,0,0,0,0,3.391783,1.616529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.743178,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.387616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.322143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.866102,0,0,0,0,0,0,0,2
1.399152,0,0,0,0,0,0,0,0,0,1.804859,0,0,0,0,0,0,0,0,0,0,0,0,1.044394,0,0,0,0,0,0,0,0,0,2.789128,0,0,0,0,0,0,0,0,2.272892,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.036411,1.720047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.086096,0,0,3.216704,0,0,0,0,0,0,0,0,0,2.133587,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1.787376,0,0,0,0,0,0,0,0,0,0,0,0,0.652556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.617281,0,0,0,2.963186,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,2.283943,0,0,0,0,0,0,0,0,0,1.338514,1.062419,0,0,0,0,0,0,0,0,0,1.904716,0,0,0,0,0,0,0,0,0,0,0,1.283555,0,1.912308,0,0,0,0,0,1.477176,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.599722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.394056,1.121425,0,0,2.345958,0,0,0,0,2
0,0,0,0,0,0,0,2.065325,1.933937,1.50683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.577798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.546666,0,0,0,0,0,0,0,0,1
