x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,y
1.022639,0,0.576371,0.835529,0.569429,0,0,0,2.291669,1.78452,2.200419,0,0,0,1.163605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951117,0.450477,0.661017,0,1.493444,0,0,0,0,0.737597,0,0,0.846231,1.563285,1.816105,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000667,0,0,1.638791,1.128561,0,2.029536,0,0,1.508475,0,1.662528,1.1819,0.802087,0.891644,0,0,0.918683,0,0,0,0,0.55803,0,0,0,0,0,0,0.49169,0,0,0,1.770889,0,0,1.637786,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.927191,0,0,0,0,0,0,0,0,0,0,0,1.461758,0,2.147134,1.528772,0,0,0,1.653945,0,0,0,0,0,0,0,0,1.785149,4.467232,0,0,0,0,0,0,0,0,0,0.938615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.750911,0,0,0,0
0,0,0,1.375682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173376,0,0,0,0,0,0,0,0,0,0,0,0,0.741702,1.088352,2.736849,0,0,0,0,0,1.21444,0,0,1.393304,0,0,0,0,0,0,0,0,0,0,0,0,2.160717,0,0,0.476257,0,0,0,2.945103,0,0,0,0,0,0,2.73732,0,0,0,1.977016,0,0,0,0,0,0,0,0,0,0,0,0,2.13586,0,0,1.785976,0,0,0,0,0,0,0,0
0,0,0,3.389729,0,0,0,0,0,0,0,1.351852,0,0,0,0,0,0,0,5.726709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.306147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,1.249174,0,0,0,0,0,0,0,0,0,0,0,0,0,2.048495,0,0,1.930206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976323,0,1.434093,1.618378,0,0,0,1.104687,0,0,0,0,0,0,0,0,0,1.882512,0,0,0,0,0,0,0,0,0,0,0,0,2.240916,1.543217,0,0,0,0,0,1.826441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.350932,0,1.527828,0,3.674724,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.938649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.537934,0,2.954289,0,0,0,0,0,0,0,0,0,0,0,0,0,2.456226,0,0,0,0,0,0,0,0,0,0,0.814822,0,0,0,3.179089,0,0,0,3.513041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.604693,0,0,3
0,0,0,1.810831,0,0,0,0,0,2.716591,2.05387,0,0,0,1.591119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976313,0,0,1.021072,0,0,0,1.104675,0,0,0,1.834026,0,0,0,0,1.192307,0,0,0,0,0,0,1.483257,1.79448,0,0,0,0,0,0,0,2.048472,0,0,1.705308,0,0,0,0,0,0,0,0,1.991049,0,0,0,0,0,0,0,0,0,0,0,1.561123,0,2.350906,0,0,0,0,0,1.454805,0,2
0,0,0,0,0,0,0,0,0,0,0,0.461027,0,0,0,0,0,0,1.697387,0,0,0,1.978191,0,0,0,0,0,0,0,0,0,0,0,1.61112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.550433,0,1.293748,0,2.378697,0,0,0,0,2.058533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,3.268926,0,1.79112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.049844,0,2.444148,1.740247,0,0,0,1.882736,0,0,0,0,0,0,0,0,4.718365,0,0,0,0,0,0,0,0,0,0,0.67412,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.912865,2.827774,0,1.87363,0,0,0,0,0,1.087366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142985,0,0,1.646299,0,0,0,0,0,0,0,0,0,0,0,1.549794,0,1.856712,1.646299,0,0,2.105038,0,0,1.596718,0,0,0,0,0,2.9952,0,0,0,0.795932,0,0,1.299777,0,0,0,0,0.789516,0,0,0,0,0,1.835352,0,0,0,0,0,0,1.90106,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0.774512,0,0,2.70463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.863641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050308,2.70463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.135346,0,0,0,0,0,0,0,0,0,2.820948,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,2.951767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.870631,0,0,1.340989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861068,0,0,0,0,0,0,4.123567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1.025031,0,0,2.164863,0.570761,1.987807,1.602402,0,0,0,0,0,0,0,1.166326,0,0,0,0,0,2.214418,2.097065,0,0,0,0,1.784945,0,0,0,0,0,0,0,0,0.662563,0,1.73789,0,0,1.627221,0,0,0,0,0.848211,1.566941,0,0,0,0,0,1.323101,0,0,0,1.097957,0,0,0,0,0.579868,0,0,0,1.1312,0,0,0,0,0,1.338808,0,0,0.803963,1.127761,0,0,0.920832,0,0,0,0,0.559336,0,0,0,0,0,0,0.985679,0,1.08726,0,0,0,1.346813,0,1.690212,0,2
0,0,0,1.172252,0,0,0,0,0,1.078281,0,0.740976,0,0,0,0,0,0,0,0,0,2.935329,2.00598,0,0,0,0,0,0,0,0,3.638405,0,0,0,0,0,1.047655,0,0,0,0,0,0,1.632544,1.881775,0,0,0,0,0,0,0,0,0,0,0,0,0,1.632544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.288918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567588,0,2.987935,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0.428003,0,0,3.470369,0,0,0,1.575801,0,2.8377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578621,0.849051,0,0,0,0,0,0,0,0,1.494607,0,0,0,0,0,0,0,0,1.993393,0,1.201075,1.406994,0,0,0,0,0,0,0,0,1.449594,0,0,0,0,0,3.983582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749344,0,0,2
0,0,0,1.09862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.797798,1.832787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7564,0,0,0,1.062242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.328507,0,0,0,0,2.979697,2
0,0,0,0,0,0,0,0,0,0,0,0.462437,0,0,2.559476,0,2.079024,0,1.702576,0,0,0,1.984238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.121151,0,0,1.61485,0,0,0,0,0,0,0,0,4.307528,0,1.297703,0,1.505378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.457639,0,0,1.283233,0,0,1
0,0,0,0,0,0,0,0,0,1.105087,2.159731,0,0,2.430083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818419,0,0,0,0,0,0,0,0,0,0,0,2.247823,2.611349,0,0,0,0,0,2.231492,0,3.774592,0,0,0,0,0,0.659216,0,0,0,0,0,2.312649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0.506068,0,0,2.800967,0,0,0,0,0,2.116946,4.009516,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.534427,0,0.696286,0,0,0,1.713991,0,0,0,0,0,0,0,0,0,0.85439,0,0,0,0,0,0,0,0.847503,0,0,0,0,0,0,0,0,0,0,0,0,2.040686,0.88602,0,0,3
0,2.76479,0,0,0,1.371672,0,0,0,0,0,0.460942,0,4.675712,1.60963,0,0,0,0,0,0,3.651984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.170603,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0.944983,0,0.844156,0,0.83399,1.45228,0,0,3.356394,0,1.387962,0.48803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.772626,0,0,0,0,1.045713,0.96813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.277061,0,0,0,0,0,0,0,0,0,0,0.847297,0,0,0,0,0,0,0,0,0,1.956251,0,0,1.174742,1.305908,2.787362,0,0,0,0,0,1.580978,0.817295,0,0,0,0,0,0,1.141382,0,0,0,0,0,0,1.708876,0,0,0
0,0,0,1.520426,0,0,0,0,0,3.615186,2.73325,0.606358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.153682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834272,0,0,0,0,0,0,2.520718,3.596899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.033182,0,0,0,0,0,2
0.801522,0,0.716002,0,0.707379,0,0,0,0,0.95474,1.177251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50624,0,0,0,0,0,0,0,0,0.821155,0,2.153872,0,0,0,0,0,0,0,1.051239,1.942005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.077999,1.848285,0,0,0,0,0,3.995596,0,0,0,0,0,0.9964,1.107653,0,0,0,0,0,0,0,0.693219,0,0,0,0,0,0,0.610806,0,0,0,1.387985,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0.567111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78018,0,0,1.270871,0,0,0,2.179208,0,0,0,0,0,0,0,0,4.166107,0,0,0,0,0,0,1.846127,0,0,0,0,4.013453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.065547,0,0,0,0,0,0,0,0,0.992893,0,0,0
0,0,0,0,0,0,0,0,0,5.322843,4.141033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.549246,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3.693042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.196186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.022668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07943,0,0,2
